date,rate
19990104,1.1812
19990105,1.1760
19990106,1.1636
19990107,1.1672
19990108,1.1554
19990111,1.1534
19990112,1.1548
19990113,1.1698
19990114,1.1689
19990115,1.1591
19990119,1.1610
19990120,1.1575
19990121,1.1577
19990122,1.1582
19990125,1.1566
19990126,1.1577
19990127,1.1481
19990128,1.1395
19990129,1.1371
19990201,1.1303
19990202,1.1328
19990203,1.1339
19990204,1.1306
19990205,1.1283
19990208,1.1296
19990209,1.1300
19990210,1.1331
19990211,1.1303
19990212,1.1282
19990216,1.1189
19990217,1.1230
19990218,1.1223
19990219,1.1075
19990222,1.1037
19990223,1.0993
19990224,1.0972
19990225,1.1068
19990226,1.0995
19990301,1.0891
19990302,1.0931
19990303,1.0888
19990304,1.0824
19990305,1.0843
19990308,1.0899
19990309,1.0873
19990310,1.0961
19990311,1.0932
19990312,1.0936
19990315,1.0930
19990316,1.0915
19990317,1.1015
19990318,1.0990
19990319,1.0923
19990322,1.0915
19990323,1.0918
19990324,1.0921
19990325,1.0871
19990326,1.0743
19990329,1.0716
19990330,1.0732
19990331,1.0808
19990401,1.0782
19990402,1.0782
19990405,1.0706
19990406,1.0838
19990407,1.0784
19990408,1.0835
19990409,1.0786
19990412,1.0842
19990413,1.0780
19990414,1.0779
19990415,1.0717
19990416,1.0688
19990419,1.0608
19990420,1.0630
19990421,1.0612
19990422,1.0598
19990423,1.0634
19990426,1.0590
19990427,1.0649
19990428,1.0616
19990429,1.0591
19990430,1.0564
19990503,1.0571
19990504,1.0593
19990505,1.0724
19990506,1.0779
19990507,1.0781
19990510,1.0787
19990511,1.0720
19990512,1.0666
19990513,1.0626
19990514,1.0650
19990517,1.0672
19990518,1.0672
19990519,1.0641
19990520,1.0630
19990521,1.0577
19990524,1.0593
19990525,1.0587
19990526,1.0471
19990527,1.0439
19990528,1.0422
19990601,1.0449
19990602,1.0357
19990603,1.0355
19990604,1.0327
19990607,1.0296
19990608,1.0438
19990609,1.0450
19990610,1.0477
19990611,1.0516
19990614,1.0416
19990615,1.0420
19990616,1.0298
19990617,1.0329
19990618,1.0368
19990621,1.0323
19990622,1.0323
19990623,1.0316
19990624,1.0372
19990625,1.0448
19990628,1.0373
19990629,1.0337
19990630,1.0310
19990701,1.0236
19990702,1.0244
19990706,1.0249
19990707,1.0224
19990708,1.0198
19990709,1.0186
19990712,1.0139
19990713,1.0176
19990714,1.0215
19990715,1.0220
19990716,1.0203
19990719,1.0203
19990720,1.0420
19990721,1.0526
19990722,1.0509
19990723,1.0497
19990726,1.0651
19990727,1.0627
19990728,1.0644
19990729,1.0719
19990730,1.0694
19990802,1.0661
19990803,1.0680
19990804,1.0766
19990805,1.0793
19990806,1.0770
19990809,1.0694
19990810,1.0752
19990811,1.0660
19990812,1.0636
19990813,1.0568
19990816,1.0557
19990817,1.0525
19990818,1.0505
19990819,1.0643
19990820,1.0654
19990823,1.0553
19990824,1.0506
19990825,1.0461
19990826,1.0441
19990827,1.0460
19990830,1.0445
19990831,1.0581
19990901,1.0582
19990902,1.0689
19990903,1.0605
19990907,1.0581
19990908,1.0590
19990909,1.0543
19990910,1.0402
19990913,1.0400
19990914,1.0408
19990915,1.0385
19990916,1.0418
19990917,1.0399
19990920,1.0408
19990921,1.0460
19990922,1.0500
19990923,1.0415
19990924,1.0466
19990927,1.0431
19990928,1.0509
19990929,1.0613
19990930,1.0643
19991001,1.0718
19991004,1.0703
19991005,1.0693
19991006,1.0704
19991007,1.0721
19991008,1.0630
19991012,1.0737
19991013,1.0758
19991014,1.0799
19991015,1.0887
19991018,1.0863
19991019,1.0833
19991020,1.0765
19991021,1.0808
19991022,1.0678
19991025,1.0666
19991026,1.0578
19991027,1.0532
19991028,1.0519
19991029,1.0518
19991101,1.0494
19991102,1.0506
19991103,1.0485
19991104,1.0440
19991105,1.0400
19991108,1.0363
19991109,1.0401
19991110,1.0436
19991112,1.0315
19991115,1.0315
19991116,1.0312
19991117,1.0403
19991118,1.0297
19991119,1.0313
19991122,1.0327
19991123,1.0261
19991124,1.0176
19991126,1.0137
19991129,1.0100
19991130,1.0077
19991201,1.0059
19991202,1.0023
19991203,1.0016
19991206,1.0252
19991207,1.0222
19991208,1.0263
19991209,1.0161
19991210,1.0158
19991213,1.0120
19991214,1.0067
19991215,1.0066
19991216,1.0169
19991217,1.0088
19991220,1.0066
19991221,1.0093
19991222,1.0080
19991223,1.0162
19991224,1.0128
19991227,1.0136
19991228,1.0068
19991229,1.0045
19991230,1.0024
19991231,1.0070
20000103,1.0155
20000104,1.0309
20000105,1.0335
20000106,1.0324
20000107,1.0294
20000110,1.0252
20000111,1.0322
20000112,1.0281
20000113,1.0270
20000114,1.0128
20000118,1.0121
20000119,1.0115
20000120,1.0133
20000121,1.0100
20000124,1.0019
20000125,1.0041
20000126,1.0011
20000127,0.9890
20000128,0.9765
20000131,0.9757
20000201,0.9731
20000202,0.9768
20000203,0.9887
20000204,0.9760
20000207,0.9783
20000208,0.9862
20000209,0.9914
20000210,0.9865
20000211,0.9847
20000214,0.9783
20000215,0.9834
20000216,0.9842
20000217,0.9863
20000218,0.9850
20000222,1.0060
20000223,1.0017
20000224,0.9931
20000225,0.9763
20000228,0.9669
20000229,0.9643
20000301,0.9700
20000302,0.9619
20000303,0.9618
20000306,0.9603
20000307,0.9560
20000308,0.9576
20000309,0.9684
20000310,0.9659
20000313,0.9648
20000314,0.9644
20000315,0.9696
20000316,0.9710
20000317,0.9694
20000320,0.9710
20000321,0.9703
20000322,0.9608
20000323,0.9691
20000324,0.9724
20000327,0.9645
20000328,0.9614
20000329,0.9524
20000330,0.9594
20000331,0.9574
20000403,0.9560
20000404,0.9588
20000405,0.9647
20000406,0.9580
20000407,0.9590
20000410,0.9588
20000411,0.9591
20000412,0.9551
20000413,0.9524
20000414,0.9564
20000417,0.9550
20000418,0.9477
20000419,0.9369
20000420,0.9376
20000421,0.9379
20000424,0.9396
20000425,0.9265
20000426,0.9217
20000427,0.9083
20000428,0.9089
20000501,0.9120
20000502,0.9068
20000503,0.8891
20000504,0.8907
20000505,0.8953
20000508,0.8950
20000509,0.9023
20000510,0.9097
20000511,0.9021
20000512,0.9080
20000515,0.9138
20000516,0.9053
20000517,0.8921
20000518,0.8952
20000519,0.8946
20000522,0.9036
20000523,0.9032
20000524,0.9096
20000525,0.9072
20000526,0.9310
20000530,0.9314
20000531,0.9328
20000601,0.9307
20000602,0.9432
20000605,0.9471
20000606,0.9570
20000607,0.9600
20000608,0.9548
20000609,0.9526
20000612,0.9544
20000613,0.9619
20000614,0.9590
20000615,0.9530
20000616,0.9648
20000619,0.9622
20000620,0.9557
20000621,0.9455
20000622,0.9398
20000623,0.9358
20000626,0.9382
20000627,0.9444
20000628,0.9444
20000629,0.9515
20000630,0.9545
20000703,0.9526
20000705,0.9548
20000706,0.9527
20000707,0.9484
20000710,0.9521
20000711,0.9497
20000712,0.9401
20000713,0.9339
20000714,0.9374
20000717,0.9351
20000718,0.9322
20000719,0.9237
20000720,0.9292
20000721,0.9343
20000724,0.9314
20000725,0.9391
20000726,0.9413
20000727,0.9331
20000728,0.9246
20000731,0.9266
20000801,0.9228
20000802,0.9137
20000803,0.9042
20000804,0.9075
20000807,0.9105
20000808,0.9019
20000809,0.8991
20000810,0.9077
20000811,0.9046
20000814,0.9037
20000815,0.9135
20000816,0.9143
20000817,0.9152
20000818,0.9068
20000821,0.9027
20000822,0.8965
20000823,0.8967
20000824,0.9028
20000825,0.9024
20000828,0.9002
20000829,0.8966
20000830,0.8924
20000831,0.8878
20000901,0.8993
20000905,0.8876
20000906,0.8702
20000907,0.8740
20000908,0.8664
20000911,0.8624
20000912,0.8596
20000913,0.8640
20000914,0.8617
20000915,0.8572
20000918,0.8523
20000919,0.8514
20000920,0.8462
20000921,0.8558
20000922,0.8793
20000925,0.8738
20000926,0.8815
20000927,0.8805
